id,file,line_contains,column,expected,observed,status,source_exp_name,source_metric,source_seed_count
en_cnn_cifar10,RESULTS_EN.md,| CIFAR-10 |,1,78.57±0.74,78.57±0.74,match,cnn_cifar_2arg,test_accuracy,5
en_cnn_cifar10,RESULTS_EN.md,| CIFAR-10 |,3,73.99±0.49,73.99±0.49,match,cnn_cifar_relu,test_accuracy,5
en_cnn_cifar10,RESULTS_EN.md,| CIFAR-10 |,5,70.67±0.43,70.67±0.43,match,cnn_cifar_relu_matched,test_accuracy,5
en_cnn_cifar100,RESULTS_EN.md,| CIFAR-100 big |,1,53.74±0.88,53.74±0.88,match,cnn_cifar100_big_2arg,test_accuracy,5
en_cnn_cifar100,RESULTS_EN.md,| CIFAR-100 big |,3,50.00±0.83,50.00±0.83,match,cnn_cifar100_big_relu,test_accuracy,5
en_cnn_cifar100,RESULTS_EN.md,| CIFAR-100 big |,6,46.48±0.50,46.48±0.50,match,cnn_cifar100_swiglu,test_accuracy,5
en_tf_d64,RESULTS_EN.md,| WikiText-2 d=64 |,1,116.63±0.84,116.63±0.84,match,transformer_wikitext_baseline_small,best_val_ppl,5
en_tf_d64,RESULTS_EN.md,| WikiText-2 d=64 |,2,112.31±0.49,**112.31±0.49**,match,transformer_wikitext_swiglu_small,best_val_ppl,5
en_tf_d64,RESULTS_EN.md,| WikiText-2 d=64 |,3,112.83±0.94,**112.83±0.94**,match,transformer_wikitext_2arg_small,best_val_ppl,5
en_tf_d128,RESULTS_EN.md,| WikiText-2 d=128 |,1,96.82±1.19,96.82±1.19,match,transformer_wikitext_baseline,best_val_ppl,5
en_tf_d128,RESULTS_EN.md,| WikiText-2 d=128 |,2,92.98±1.14,**92.98±1.14**,match,transformer_wikitext_swiglu,best_val_ppl,5
en_tf_d128,RESULTS_EN.md,| WikiText-2 d=128 |,3,95.26±1.00,**95.26±1.00**,match,transformer_wikitext_2arg,best_val_ppl,5
en_tf_d192,RESULTS_EN.md,| WikiText-2 d=192 |,1,89.11±0.92,89.11±0.92,match,transformer_wikitext_scale_gelu_d192,best_val_ppl,5
en_tf_d192,RESULTS_EN.md,| WikiText-2 d=192 |,2,85.43±0.41,**85.43±0.41**,match,transformer_wikitext_swiglu_d192,best_val_ppl,5
en_tf_d192,RESULTS_EN.md,| WikiText-2 d=192 |,3,88.42±0.94,**88.42±0.94**,match,transformer_wikitext_scale_2arg_d192,best_val_ppl,5
en_tf_d256,RESULTS_EN.md,| WikiText-2 d=256 |,1,86.05±0.97,86.05±0.97,match,transformer_wikitext_baseline_large,best_val_ppl,5
